nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d018720	NA	brown
Zm00001d018786	NA	brown
Zm00001d018810	NA	brown
Zm00001d018824	NA	brown
Zm00001d018955	NA	brown
Zm00001d018989	NA	brown
Zm00001d018990	NA	brown
Zm00001d019074	NA	brown
Zm00001d019076	NA	brown
Zm00001d019087	NA	brown
