fromNode	toNode	weight	direction	fromAltName	toAltName
Zm00001d001781	Zm00001d018058	0.00508408112815402	undirected	NA	NA
Zm00001d001781	Zm00001d018061	0.00154511468546609	undirected	NA	NA
Zm00001d001781	Zm00001d018230	0.00445185733575689	undirected	NA	NA
Zm00001d001781	Zm00001d018262	0.000690658185724327	undirected	NA	NA
Zm00001d001781	Zm00001d018521	0.00182777846484104	undirected	NA	NA
Zm00001d001781	Zm00001d018648	0.000279979987150309	undirected	NA	NA
Zm00001d001781	Zm00001d018657	0.000540685210608394	undirected	NA	NA
Zm00001d001781	Zm00001d018754	0.00153575946874066	undirected	NA	NA
Zm00001d001781	Zm00001d018809	0.00147678472307322	undirected	NA	NA
Zm00001d001781	Zm00001d018825	0.0258005010739013	undirected	NA	NA
Zm00001d001781	Zm00001d018844	0.00294252123589399	undirected	NA	NA
Zm00001d001781	Zm00001d018890	0.00201408804973898	undirected	NA	NA
Zm00001d001781	Zm00001d018895	0.00269669577063237	undirected	NA	NA
Zm00001d001781	Zm00001d019014	0.00921416146229424	undirected	NA	NA
Zm00001d001781	Zm00001d019042	0.00124656272838839	undirected	NA	NA
Zm00001d001902	Zm00001d001914	0.023279979656422	undirected	NA	NA
Zm00001d001902	Zm00001d001926	0.138272314615717	undirected	NA	NA
Zm00001d001902	Zm00001d001973	0.0126851627726635	undirected	NA	NA
Zm00001d001902	Zm00001d002160	0.0585501008675863	undirected	NA	NA
Zm00001d001902	Zm00001d002239	0.0369029716847605	undirected	NA	NA
Zm00001d001902	Zm00001d002305	0.0485725536403857	undirected	NA	NA
Zm00001d001902	Zm00001d002314	0.0123387717951722	undirected	NA	NA
Zm00001d001902	Zm00001d002317	0.00732159635935452	undirected	NA	NA
Zm00001d001902	Zm00001d002350	0.0336312823703738	undirected	NA	NA
Zm00001d001902	Zm00001d002383	0.000775383445966254	undirected	NA	NA
Zm00001d001902	Zm00001d002432	0.0170133061170928	undirected	NA	NA
Zm00001d001902	Zm00001d002492	0.00572977080322271	undirected	NA	NA
Zm00001d001902	Zm00001d002506	0.0580777469063053	undirected	NA	NA
Zm00001d001902	Zm00001d002613	0.0184253661058452	undirected	NA	NA
Zm00001d001902	Zm00001d002750	0.0588310694598826	undirected	NA	NA
Zm00001d001902	Zm00001d002751	0.0116318615828602	undirected	NA	NA
Zm00001d001902	Zm00001d002854	0.0181484224239851	undirected	NA	NA
Zm00001d001902	Zm00001d002875	0.0419517961004857	undirected	NA	NA
Zm00001d001902	Zm00001d003118	0.00499556242407592	undirected	NA	NA
Zm00001d001902	Zm00001d003524	0.000831280138659993	undirected	NA	NA
Zm00001d001902	Zm00001d003636	0.0213197616812698	undirected	NA	NA
Zm00001d001902	Zm00001d003637	0.0275500368755059	undirected	NA	NA
Zm00001d001902	Zm00001d003646	0.0081700504276002	undirected	NA	NA
