nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d010321	NA	turquoise
Zm00001d010375	NA	turquoise
Zm00001d010415	NA	turquoise
Zm00001d010424	NA	turquoise
Zm00001d010463	NA	turquoise
Zm00001d010494	NA	turquoise
Zm00001d010526	NA	turquoise
Zm00001d010545	NA	turquoise
Zm00001d010585	NA	turquoise
Zm00001d010596	NA	turquoise
Zm00001d010615	NA	turquoise
Zm00001d010623	NA	turquoise
Zm00001d010659	NA	turquoise
Zm00001d010662	NA	turquoise
Zm00001d010671	NA	turquoise
Zm00001d010676	NA	turquoise
Zm00001d010726	NA	turquoise
Zm00001d010806	NA	turquoise
Zm00001d010859	NA	turquoise
Zm00001d010920	NA	turquoise
Zm00001d010940	NA	turquoise
Zm00001d010945	NA	turquoise
Zm00001d010946	NA	turquoise
Zm00001d010958	NA	turquoise
Zm00001d010982	NA	turquoise
Zm00001d010985	NA	turquoise
Zm00001d011051	NA	turquoise
Zm00001d011068	NA	turquoise
Zm00001d011134	NA	turquoise
Zm00001d011140	NA	turquoise
Zm00001d011143	NA	turquoise
Zm00001d011164	NA	turquoise
Zm00001d011188	NA	turquoise
Zm00001d011210	NA	turquoise
Zm00001d011242	NA	turquoise
Zm00001d011260	NA	turquoise
Zm00001d011262	NA	turquoise
Zm00001d011286	NA	turquoise
Zm00001d011312	NA	turquoise
Zm00001d011319	NA	turquoise
Zm00001d011363	NA	turquoise
Zm00001d011365	NA	turquoise
Zm00001d011378	NA	turquoise
Zm00001d011413	NA	turquoise
Zm00001d011418	NA	turquoise
Zm00001d011420	NA	turquoise
Zm00001d011443	NA	turquoise
Zm00001d011498	NA	turquoise
Zm00001d011500	NA	turquoise
Zm00001d011527	NA	turquoise
Zm00001d011548	NA	turquoise
Zm00001d011576	NA	turquoise
Zm00001d011602	NA	turquoise
Zm00001d011607	NA	turquoise
Zm00001d011610	NA	turquoise
Zm00001d011629	NA	turquoise
Zm00001d011679	NA	turquoise
Zm00001d011696	NA	turquoise
Zm00001d011734	NA	turquoise
Zm00001d011736	NA	turquoise
Zm00001d011737	NA	turquoise
Zm00001d011760	NA	turquoise
Zm00001d011842	NA	turquoise
Zm00001d011906	NA	turquoise
Zm00001d011923	NA	turquoise
Zm00001d011932	NA	turquoise
Zm00001d011944	NA	turquoise
Zm00001d011959	NA	turquoise
Zm00001d011971	NA	turquoise
Zm00001d012043	NA	turquoise
Zm00001d012063	NA	turquoise
Zm00001d012097	NA	turquoise
Zm00001d012224	NA	turquoise
Zm00001d012238	NA	turquoise
Zm00001d012251	NA	turquoise
Zm00001d012257	NA	turquoise
Zm00001d012261	NA	turquoise
Zm00001d012263	NA	turquoise
Zm00001d012268	NA	turquoise
Zm00001d012330	NA	turquoise
Zm00001d012335	NA	turquoise
Zm00001d012362	NA	turquoise
Zm00001d012408	NA	turquoise
Zm00001d012472	NA	turquoise
Zm00001d012474	NA	turquoise
Zm00001d012516	NA	turquoise
Zm00001d012550	NA	turquoise
Zm00001d012567	NA	turquoise
Zm00001d012572	NA	turquoise
Zm00001d012574	NA	turquoise
Zm00001d012584	NA	turquoise
Zm00001d012593	NA	turquoise
Zm00001d012613	NA	turquoise
Zm00001d012620	NA	turquoise
Zm00001d012672	NA	turquoise
Zm00001d012677	NA	turquoise
Zm00001d012689	NA	turquoise
Zm00001d012808	NA	turquoise
Zm00001d012818	NA	turquoise
Zm00001d012860	NA	turquoise
Zm00001d012900	NA	turquoise
Zm00001d012916	NA	turquoise
Zm00001d013032	NA	turquoise
Zm00001d013046	NA	turquoise
Zm00001d013054	NA	turquoise
Zm00001d013057	NA	turquoise
Zm00001d013107	NA	turquoise
Zm00001d013115	NA	turquoise
Zm00001d013130	NA	turquoise
Zm00001d013153	NA	turquoise
Zm00001d013173	NA	turquoise
Zm00001d013177	NA	turquoise
Zm00001d013181	NA	turquoise
Zm00001d013195	NA	turquoise
Zm00001d013212	NA	turquoise
Zm00001d013230	NA	turquoise
Zm00001d013246	NA	turquoise
Zm00001d013262	NA	turquoise
Zm00001d013270	NA	turquoise
Zm00001d013281	NA	turquoise
Zm00001d013419	NA	turquoise
Zm00001d013458	NA	turquoise
Zm00001d013482	NA	turquoise
Zm00001d013499	NA	turquoise
Zm00001d013527	NA	turquoise
Zm00001d013554	NA	turquoise
Zm00001d013561	NA	turquoise
Zm00001d013603	NA	turquoise
Zm00001d013619	NA	turquoise
Zm00001d013646	NA	turquoise
