"MEdarkgreen" "MEdarkred" "MEdarkturquoise" "MEdarkorange" "MEgreenyellow" "MEsalmon" "MEblue" "MEpurple" "MEorange" "MEgreen" "MEgrey60" "MEred" "MElightyellow" "MEblack" "MEcyan" "MElightcyan" "MEroyalblue" "MElightgreen" "MEwhite" "MEbrown" "MEdarkgrey" "MEmidnightblue" "MEyellow" "MEmagenta" "MEpink"
"LH39_Z1_2" -0.0131181521633862 -0.103193771309159 0.0219344620816979 -0.0288903595008264 -0.0309395502424137 -0.0462816619928761 0.083058125206654 -0.0395989678938568 -0.00769076239315105 -0.0471599186782541 -0.0215543127877352 0.147386918045552 0.0944596667531379 -0.0126650471863587 -0.00737063188011799 0.00434415803311645 -0.0142968837590921 -0.0823316398913728 -0.0291640984882464 -0.0279559143118212 -0.0184315177326319 -0.0138140506540543 0.066688846933973 -0.00730082835368122 0.0756624120016108
"LH39_Z1_3" -0.017993344688322 -0.0957542026356166 -0.0738285060810689 -0.035461314033028 -0.0356553851834358 -0.048686783872049 0.0178029953942278 -0.0613418109608564 -0.0253318212129251 -0.0467438346337017 -0.02477118177823 0.156215715037621 0.0696374933657311 -0.0202801242661226 -0.01114303345466 0.00761160887785612 -0.00426581225899383 -0.0785045264832089 -0.0794484490786399 -0.0288118677908543 -0.018203431608316 -0.0139319000246237 0.155099022406621 -0.011734778437626 0.043252210979603
"LH39_Z2_1" -0.0274825326021426 -0.00424338601911713 0.0362087782926661 -0.0295979473374677 -0.0309090336185873 -0.0578323639769109 0.00447489721841602 0.0888132538550456 -0.0220438437248267 -0.0394915151007905 -0.0208214550188872 0.144347530086228 0.0836567846394389 -0.0266848423591302 -0.0106506772045544 0.035307040349 -0.0072247969118009 -0.0337248142375323 -0.065951456841857 -0.0348183099808893 -0.0256770876899931 -0.0203369324700658 -0.0133143212370632 -0.0449380243453384 -0.0767944069898107
"LH39_Z2_2" -0.0238799292174586 0.0145077241026699 0.0225499016134405 -0.0334059295997586 -0.024166925192618 -0.0434044824091757 -0.0355332207401357 0.0578291889785069 -0.0205505520568406 -0.0339060709014438 -0.0178013924413036 0.150697346198471 -0.0126700602392647 -0.018893641980595 -0.00405849928895372 -0.0660304261961895 0.00371202268946355 0.0235129204903854 -0.0524359740197554 -0.030946606557008 -0.0235864651309186 -0.0146463950445388 0.00344709377837521 -0.022961298695144 -0.0326995961918615
"LH39_Z2_3" -0.0161494095185429 -0.0565615007079037 -0.103564826064578 -0.0287921964512293 -0.0318498571297962 -0.0506570199322406 -0.038617288279075 -0.0733807824746527 -0.0286928744907176 -0.0433678467128106 -0.0237344809678573 0.155357278015269 0.0283835769911215 -0.024136436036771 -0.00318989142325058 -0.00485350077313034 -0.00580090835368768 -0.0265875166957971 -0.0875576531510098 -0.035200125040497 -0.0279392898641226 -0.0200368921367845 0.0637529245022458 -0.0244879121640044 0.00353477739185133
"LH39_Z3_1" -0.0298815332473577 0.0715479876141539 0.0155452854246774 -0.0299164866368899 -0.0203363786988016 -0.0517397237755593 -0.0691645853247127 0.0564738520895331 -0.0105403268237387 -0.0319609495559439 -0.0200740104435507 0.150826149936956 -0.109089390502553 -0.0253643214580539 -0.00403795231704177 -0.0886880077046762 -0.000850423326695566 0.134847315241071 0.0458206669711165 -0.0344221466487877 -0.0294034942982346 -0.0184424919692128 -0.0381491775160753 -0.0319644110445203 -0.0523917797599294
"LH39_Z3_2" -0.0224612731166592 0.0566674999932454 0.00527099709523863 -0.0278834859405562 -0.0292726448895116 -0.0480105311045511 -0.0650987000388403 0.0500853368345515 -0.0262979186659587 -0.0346543676494545 -0.0223125609736535 0.147360174947934 -0.10895720288475 -0.0258544750917053 -0.00803155339379614 -0.076595708354655 -0.00279155030634006 0.0394561008693929 -0.0131759506808259 -0.0344543922888495 -0.0269243043121666 -0.029179650235508 -0.0214300837801098 -0.0377773679472293 -0.0376511800186535
"LH39_Z3_3" -0.0201086635375352 -0.00234970418540349 -0.065106509538089 -0.0283552584724869 -0.0284503180466 -0.0500383957020758 -0.093173447593221 -0.108575910695318 -0.0225672221194895 -0.0381885706755423 -0.0215978376010612 0.161320881562053 -0.13394591425252 -0.0219105635154584 0.00113387408403209 -0.0627340317815063 -0.00170538417692538 0.0515355824819982 -0.0101175583636923 -0.0365053442056818 -0.0294139798784162 -0.0160748150124693 0.095908377914231 -0.0140875707302553 -0.00927404383761312
"X78371A_Z1_1" -0.0145508920068635 -0.0806427582771632 -0.0770170391996466 -0.0197694743788724 -0.0323538715749025 -0.0641962967958359 0.0782294977830859 0.113405816523722 -0.0262674333340525 -0.0323281491300465 -0.0135914261473912 0.207504931376978 0.00583511858544415 -0.0225865851114669 -0.0161599745901905 0.0111540236415103 -0.00282976454896716 -0.0578704104966353 -0.0528304644263628 -0.0239313166282201 -0.0224037266028434 -0.0141771006248411 -0.0642060027272891 -0.0386102421447443 0.00292015603904439
"X78371A_Z1_2" -0.0138018067149568 -0.106078473631062 0.000771980056812158 -0.0187524246983034 -0.0240445366750929 -0.0492379366305391 0.0511885395776748 -0.00907152334329517 -0.0251238438316054 -0.0412209484304095 -0.008129635900274 0.199630978306684 0.1497968352994 -0.0135316991488545 -0.0134587429269068 -0.00471120117105103 -0.01416781704104 -0.05245741725104 -0.0454790477547459 -0.0174686254559042 -0.0243635420823015 -0.01013938326715 0.0986208585327161 -0.00932774095428263 0.123598708752816
